Gene	C2	C7	C3	C5	C12	C13	C14	C11	C4	C8	C6	C10	C9	C1
Flt1	0.5643639176954732	0.5225198247422681	0.04528849385245902	0.017935763358778625	0.0940414375	0.03676953921568628	0.0	0.0	0.0025798103130755066	0.010911324324324324	0.0028789618055555556	0.0	0.02621157534246575	0.020852106227106225
Fmnl2	0.44586329012345677	0.4357814020618556	0.7002169590163935	0.8927602061068702	0.40734112916666665	0.9231976078431373	0.5575749710144927	1.3535455086705204	0.9436240276243093	0.9893515459459459	0.9142412673611111	0.7632975204081632	0.30799643493150686	0.6089495787545788
Fmod	0.23503534567901233	0.19232436082474227	0.25957804918032784	0.1502011717557252	0.49507616666666665	1.704951681372549	1.196410043478261	1.0070529537572255	1.8853514972375691	0.5138695594594594	0.07558355555555556	0.4967633673469387	0.023691041095890413	0.006381421245421246
Fn1	6.1461507325102875	5.67181725257732	3.831710506147541	2.795928797709924	4.796039204166666	6.251570338235294	2.4128055362318843	4.321170445086706	3.3620450055248616	2.500938310810811	1.9193880625000002	2.1420822142857143	1.7178077910958904	1.7779567802197802
Fndc3b	1.5493734876543208	1.441299592783505	0.8472554323770491	0.7302561832061069	0.7320375625	1.2193036519607843	0.39537907246376813	1.0270657976878612	0.911214182320442	0.5508898972972973	0.2765961284722222	0.2654769591836735	0.1009082910958904	0.182101989010989
Fosl1	0.8393438806584362	1.0123684381443299	0.6237799016393443	0.3505329045801526	0.2801337333333333	0.0977712205882353	0.02268684782608696	0.0963304450867052	0.029843832412523016	0.0625203081081081	0.12130544444444445	0.047957316326530615	0.008720318493150685	0.03387630036630036
Fosl2	1.6176826687242798	1.5554307164948453	1.116348243852459	1.0274301488549618	0.5333026583333333	1.0717827500000001	0.13422278985507247	0.7626162601156069	0.48353381767955794	0.399942272972973	0.16643669444444445	0.10361765306122449	0.05773497260273973	0.0965586043956044
Foxc1	0.35607041975308645	0.551051675257732	0.3840284754098361	0.3669866221374046	0.24083659583333333	0.8240507598039216	0.11377083333333333	0.18666087861271677	0.3865984659300184	0.24835902972972973	0.18827791666666668	0.18703142346938775	0.04247943150684931	0.012717743589743591
Foxc2	0.3285153724279835	0.4046951443298969	0.0829375881147541	0.033331522900763355	0.044418825	0.08499088725490196	0.013798246376811594	0.014008630057803466	0.008271049723756906	0.004824832432432432	0.012534458333333333	0.0	0.0	0.0
Foxd1	0.11075761728395062	0.1194517113402062	0.08943665163934426	0.09597653435114505	0.029967441666666667	0.07495900490196078	0.08880577536231883	0.067022612716763	0.10370510865561695	0.1312660864864865	0.2788505902777778	0.1603656275510204	0.15345282876712327	0.0050121904761904765
Foxf2	0.07350907613168725	0.14106540206185567	0.018749293032786885	0.034844064885496184	0.017846874999999998	0.014005779411764705	0.0	0.0	0.0013956887661141803	0.0	0.0	0.0	0.0	0.0
Foxh1	0.0	0.0	0.0	0.004028629770992367	0.0	0.0	0.0	0.0	0.0026319613259668507	0.00891842972972973	0.03201223611111111	0.0	0.11815187328767122	0.23621599267399265
Foxj2	0.22275807613168724	0.2158849793814433	0.192446631147541	0.09592742748091602	0.11184759583333334	0.29115470098039214	0.11136315217391304	0.17172231213872832	0.2475537679558011	0.18999945135135135	0.09256587152777779	0.13051263265306123	0.07361116438356165	0.06891868498168498
Foxm1	0.18334502674897118	0.8000594587628865	0.5324256577868852	0.7836190458015267	0.21277422083333333	0.07808250490196078	0.07650406521739131	0.11384599421965319	0.07829905893186004	0.3278241675675676	0.6935490104166667	0.45018933163265307	0.37063342465753424	0.48820412820512826
Foxo4	0.08074757613168725	0.07218734020618557	0.07490394057377049	0.12036437022900764	0.088716325	0.17702773039215688	0.22678434782608697	0.1734502196531792	0.15799839779005526	0.1790415081081081	0.1778528611111111	0.3887573010204082	0.1605320205479452	0.23141280952380952
